leg,leg_number,name,type,address,on_route,distance_from_route_m,interest_rating,description,interesting_fact,external_link,source_notes,latitude,longitude,geocode_confidence,image_path,verdict,text_length,photo_choice,map_icon_correct,note_text,new_gps_lat,new_gps_lon,new_gps_accuracy_m,reviewed_at
"Wojtek Memorial -> Scott Monument","4","Ross Bandstand","building","West Princes Street Gardens, Edinburgh","","","","An open-air concert venue in a natural bowl of West Princes Street Gardens, directly below Edinburgh Castle. The current structure, officially the Ross Open Air Theatre, was built in 1935 to a design by city architect E. J. Macrae, replacing an earlier bandstand of 1877 that had been gifted by William Henry Ross, chairman of the Distillers Company. It seats around 2,500 and has hosted the Edinburgh International Festival and Edinburgh Jazz Festival for decades, plus the annual Hogmanay concert and the Festival fireworks concert.","For nearly two decades this stage was also a battlefield of a different kind. From 2004, storm damage and an ambitious £25 million replacement scheme, nicknamed ""the Hobbit House"" in the press for its curved, grassed canopy roof, dragged through design competitions, hotelier-backed sponsorship deals and public objections over commercialising a free public park. US firm wHY won the international competition in 2017, but the scheme collapsed in 2021 when its main funder pulled out - so the 1935 bandstand still standing here is the one the fight never quite managed to replace.","https://threadinburgh.scot/2023/11/15/the-thread-about-the-ross-bandstand-or-170-years-of-squabbling-over-a-public-performance-space-in-west-princes-street-gardens/","No dedicated Wikipedia article exists for the bandstand itself (only for the affiliated ""Ross Development Trust""); history compiled from Scotsman/Edinburgh News coverage, Threadinburgh and Forever Edinburgh. ""Hobbit House"" is a press nickname for the 2017 wHY design, not an official name. Confirmed - google places (unique name, correct West Princes Street Gardens address).","55.950561","-3.2000812","confirmed - google places","4-1.jpg","","","","","","","","",""
"Wojtek Memorial -> Scott Monument","4","Royal Scots Greys Monument","monument","Princes Street, opposite Frederick Street, Edinburgh","","","","A bronze cavalryman of the Royal Scots Greys sits on horseback atop a rough-hewn rock pedestal above the gardens, facing Edinburgh Castle across the valley. Sculpted by William Birnie Rhind with Alessandro Parlanti between 1903 and 1906 and unveiled by Lord Rosebery in 1906, it commemorates the regiment's dead from the Second Boer War of 1899-1902. The soldier wears the exact uniform and equipment the Greys carried to South Africa in 1899, down to the bearskin cap.","Both the man and the horse are portraits, not composites. The rider was modelled on real Sergeant-Major Anthony James Hinnigan, and the horse beneath him is Polly, who genuinely served with the regiment in South Africa and was cast from life. Plaques added after both World Wars later extended the memorial to the regiment's dead from those conflicts too, so a monument raised for one war ended up carrying the names of three.","https://artuk.org/discover/artworks/royal-scots-greys-memorial-297128","Google Places' formatted address string reads oddly (""West Gardens Cottage, Princes St"") but its coordinates and cross-referenced geography - directly opposite Frederick Street - match the well-documented monument location. Sculptor is credited as Rhind alone in some summaries and as Rhind with Alessandro Parlanti in others; both names kept per Art UK.","55.9513786","-3.1993979","confirmed - google places","4-2.jpg","","","","","","","","",""
"Wojtek Memorial -> Scott Monument","4","The Mound","history","The Mound, Edinburgh","","","","The sloped road you're crossing between West and East Princes Street Gardens isn't natural ground, it's spoil. Constructed in stages between the 1780s and about 1830, an estimated 1.5 million cartloads of earth and rubble dug from the foundations of the New Town were tipped here into the drained bed of the old Nor Loch, gradually building a shortcut between the medieval Old Town and the new Georgian streets above. It was macadamised and landscaped by 1830 and today carries the Royal Scottish Academy and the Scottish National Gallery on its slopes.","Locals called the original crossing ""Geordie Boyd's Brig"", after an Old Town clothier named George Boyd who, around 1780, started laying wooden planks across a tip of rubble simply so he could walk over and see the new streets being built. The town council only turned his shortcut into an official project two years later, decreeing in 1782 that all New Town excavation spoil be dumped there systematically. And in 1959, engineers laid an experimental ""electric blanket"" heating system beneath the road surface to melt winter ice - long disused, but still down there under everyone's feet.","https://en.wikipedia.org/wiki/The_Mound","Construction dates vary slightly by source (proposed 1783, council decree 1782, 1827 Improvement Act, macadamised/landscaped by ~1830) - phrased as a range rather than one date. ""Geordie Boyd's Brig"" origin story corroborated across Lost Edinburgh/Scotsman and Edinburgh Expert accounts. Google Places pin is for the road generally, used as the crossing-point estimate for this entry.","55.9510518","-3.1963641","confirmed - google places (pin represents the road generally)","4-3.jpg","","","","","","","","",""
"Wojtek Memorial -> Scott Monument","4","Allan Ramsay Monument","statue","West Princes Street Gardens, foot of the Mound, Edinburgh","","","","A white Carrara marble statue of the poet and bookseller Allan Ramsay (1686-1758), carved by Sir John Steell and unveiled on 25 March 1865, standing on a pedestal designed by architect David Bryce. Ramsay is shown holding a book in one hand and a pencil in the other, wearing a soft cap rather than the powdered wig fashionable in his day. Medallion portraits of his family and descendants, including his painter son Allan Ramsay the Younger, decorate the sides of the pedestal.","The cap is a quiet joke about his first career. Before he became a leading figure of the early Edinburgh Enlightenment - founder of one of Britain's first circulating libraries and author of the pastoral comedy ""The Gentle Shepherd"" - Ramsay trained and worked as a wigmaker, and Steell dressed him in his own nightcap rather than the wig he'd once have sold his customers. The statue was commissioned by Lord Murray of Henderland in memory of his great-uncle.","https://en.wikipedia.org/wiki/Allan_Ramsay_(poet)","One low-detail tourism source gave an erection date of 1850; more detailed, specialist sources (Victorian Web, Edinburgh Outdoors, britishlistedbuildings summary) independently agree on 25 March 1865 as the unveiling date, matching the same-day unveiling of the nearby John Wilson statue - went with 1865. Canmore/Trove page for this monument 403'd on direct fetch.","55.9517077","-3.1973132","confirmed - google places","4-4.jpg","","","","","","","","",""
"Wojtek Memorial -> Scott Monument","4","Floral Clock","history","West Princes Street Gardens, foot of the Mound, Edinburgh","","","","A working clock made entirely of bedding plants, first switched on 10 June 1903, the earliest floral clock in Britain and among the first anywhere in the world. City parks superintendent John McHattie designed the planting with advice from James Mossman, a descendant of Mary Queen of Scots' court jeweller, while Edinburgh clockmakers James Ritchie & Son built the actual mechanism hidden beneath the flowerbed. It started with only an hour hand; a minute hand followed in 1904.","A mechanical cuckoo has popped out of a little house beside the clock to sound the quarter-hours since 1953, and the whole bed is dug up and replanted from scratch every single year around a new theme, past years have marked everything from royal jubilees to the centenary of the Flying Scotsman steam locomotive. The original clockwork drive ran until 1973, when it was finally converted to electric power, and thousands of individual plants go into the display each spring to keep the hands moving on time.","https://threadinburgh.scot/2023/06/11/the-thread-about-mr-mchattie-mr-ritchie-and-the-floral-clock-in-princes-street-gardens/","Exact annual plant count varies by source (some cite ~35,000, others ~40,000+) - softened to ""thousands"" to avoid overstating a specific figure. Cuckoo-house year (1953) and 1973 electrification date both corroborated across EdinburghGuide, Threadinburgh and Smith of Derby summaries.","55.9517238","-3.1972529","confirmed - google places","4-5.jpg","","","","","","","","",""
"Wojtek Memorial -> Scott Monument","4","Royal Scottish Academy Building","gallery","The Mound, Edinburgh","","","","A Greek Doric temple front designed by William Henry Playfair and built 1822-26 as the Royal Institution, home in turn to the Royal Society of Edinburgh and the Board of Manufactures before the Royal Scottish Academy took permanent occupancy in 1911. Its foundations needed roughly 2,000 timber piles driven into the soft ground of the old Nor Loch bed before Playfair could build on it at all. Sir John Steell added the rooftop sculpture and the corner sphinxes; the building still hosts rotating exhibitions today, including the RSA's own annual show.","The figure crowning the pediment is often assumed to be a symbol of wisdom, but it's actually Queen Victoria posed as Britannia, sculpted by Steell not long after she came to the throne. A £32 million underground project completed in the 2010s, the Playfair Project, finally linked this building to its neighbour, the Scottish National Gallery, by a tunnel beneath the Mound, meaning the two Playfair buildings that had stood side by side for close to two centuries were only physically joined within living memory.","https://en.wikipedia.org/wiki/Royal_Scottish_Academy_Building","One general tourism summary described the rooftop figure as ""Pallas Athena""; the dedicated Wikipedia article on the building itself identifies it specifically as Queen Victoria posed as Britannia, by Steell - went with the more specific, building-focused source.","55.9516752","-3.1962890","confirmed - google places","4-6.jpg","","","","","","","","",""
"Wojtek Memorial -> Scott Monument","4","John Wilson Statue","statue","East Princes Street Gardens, Edinburgh","","","","A bronze of Professor John Wilson (1785-1854), shown in a thoughtful pose holding a half-open manuscript and a quill pen. Sculpted by Sir John Steell and unveiled on 25 March 1865, the same day as the nearby Allan Ramsay statue. Wilson held the Chair of Moral Philosophy at Edinburgh University from 1820 to 1851, but is remembered at least as much for his other life as ""Christopher North"", the swaggering, pseudonymous voice of the Tory literary journal Blackwood's Edinburgh Magazine.","His appointment to the philosophy chair was a political stitch-up rather than an academic one: Sir William Hamilton was privately reckoned the best-qualified candidate in Britain, but Edinburgh's Tory-run town council pushed Wilson through instead, with Sir Walter Scott leading the campaign for him. He more than made up for it in sheer output - in 1834 alone he wrote over fifty articles for Blackwood's - and as Christopher North he co-created ""Noctes Ambrosianae"", a long-running series of fictional tavern conversations mixing literary criticism with drinking talk, featuring a character based on his friend the poet James Hogg.","https://en.wikipedia.org/wiki/John_Wilson_(Scottish_writer)","Hamilton/patronage controversy and Noctes Ambrosianae details drawn directly from Wikipedia's John Wilson (Scottish writer) article. Google Places result for this statue landed almost exactly on the neighbouring Royal Scottish Academy's coordinates (~30m apart), consistent with the statue's known position at the edge of the gardens right by the Academy building.","55.9519525","-3.1961001","confirmed - google places","4-7.jpg","","","","","","","","",""
"Wojtek Memorial -> Scott Monument","4","Scottish National Gallery","gallery","The Mound, Edinburgh","","","","Scotland's national collection of Old Master and Scottish paintings, in a neoclassical building designed by William Henry Playfair. Prince Albert laid the foundation stone on 30 August 1850, calling it in his speech a ""temple erected to the Fine Arts"", and it opened to the public in 1859. It stands immediately south of Playfair's earlier Royal Scottish Academy building on the same ridge, the two structures forming a matched pair astride the Mound.","Playfair's original, more ambitious design for the site was rejected as too expensive, and what got built is a scaled-down version, yet even that came with an eccentric extra: plans made public in 2025 for the gallery's 175th anniversary show Victorian engineers had drawn up proposals for a swimming bath in the basement, which was never built. The gallery's Weston Link, opened underground in 2019 as part of the £32 million Playfair Project, now connects it directly to the Royal Scottish Academy next door and down into the gardens below.","https://en.wikipedia.org/wiki/Scottish_National_Gallery","Swimming-bath basement plans confirmed via National Galleries of Scotland's own 2025 press coverage of unused historical drawings - a real but unbuilt Victorian proposal, not a hidden feature that exists today. Google Places pin sits at the gallery's Weston Link/garden-level entrance rather than its Mound-facing front, both are part of the same building.","55.950902","-3.1956862","confirmed - google places (pin is at the garden-level entrance)","4-8.jpg","","","","","","","","",""
"Wojtek Memorial -> Scott Monument","4","Playfair Steps","architectural_point","Playfair Steps, Edinburgh","","","","A broad flight of stone steps dropping from Market Street, at the top of the Mound, down to the wide paved forecourt between the Royal Scottish Academy and the Scottish National Gallery. Built around 1828, they're named after William Henry Playfair, architect of both galleries and much else in the city, and they form one of the main pedestrian links between the Old Town above and Princes Street Gardens below.","During the Edinburgh Festival Fringe, these steps and the plaza at their foot turn into one of the city's busiest informal stages, packed with street performers, jugglers and the crowds who stop to watch them, all summer long. The steps were closed for four years during construction work on the adjoining National Galleries site and only reopened to the public in July 2023, a long wait for what is, in normal times, one of the most heavily used staircases in the city.","https://www.scottish-places.info/features/featurefirst90294.html","Construction date of ""around 1828"" is consistently cited across tourism and local-history sources but not tied to a specific primary record in what was checked.","55.9504197","-3.1949044","confirmed - google places","4-9.jpg","","","","","","","","",""
"Wojtek Memorial -> Scott Monument","4","Adam Black Statue","statue","East Princes Street Gardens, Edinburgh","","","","A bronze statue of publisher and politician Adam Black (1784-1874), shown in the robes of Lord Provost of Edinburgh, holding a scroll. Sculpted by John Hutchison and erected in 1877, three years after Black's death. He founded the publishing house A & C Black, brought out the 7th, 8th and 9th editions of the Encyclopaedia Britannica, served two terms as Lord Provost of Edinburgh, and sat as one of the city's MPs in Parliament from 1856 to 1865.","Black's biggest single business gamble paid off spectacularly: in 1851 his firm paid £27,000, an enormous sum at the time, to buy up the copyright and printing stock of Sir Walter Scott's Waverley novels, then republished them in cheap shilling editions that put Scott's fiction into ordinary readers' hands for the first time and turned a solid profit for A & C Black in the process. He had started out as a humble Edinburgh bookseller's apprentice.","https://en.wikipedia.org/wiki/Adam_Black","Google Places lookup returned only a bare postcode-level address (""Edinburgh EH2 2EL"") with no separate confirming landmark detail beyond coordinates - kept as confirmed given the statue's location within East Princes Street Gardens is otherwise well documented by multiple tourism/heritage sources.","55.9522132","-3.1944154","confirmed - google places","4-10.jpg","","","","","","","","",""
