landmark_sequence_order,landmark_title,hint_order,hint_text
2,William Pitt the Younger statue,1,"the big man is Henry Dundas, 1st Viscount Melville - look up!"
2,William Pitt the Younger statue,2,"Its the second cross roads, not the first!"
3,Bute House,1,don't turn right until you can go no further
3,Bute House,2,then take the next left turn
4,Wojtek the Soldier Bear Memorial,1,you will need to cross over Princes Street
4,Wojtek the Soldier Bear Memorial,2,this animal is related to Paddington
5,The Scott Monument,1,you are looking for a big black spike
5,The Scott Monument,2,you need to travel about 600m
6,Fleshmarket Close,1,the steps go up
6,Fleshmarket Close,2,its not the first set of steps
7,Tron Kirk Market,1,turn left at the top of the steps
7,Tron Kirk Market,2,when you hit the royal mile you will be close
8,Deacon Brodies Tavern,1,the burglar was also a respected cabinet maker
8,Deacon Brodies Tavern,2,look for a pub
9,Edinburgh Castle,1,the shield is gold
9,Edinburgh Castle,2,it is above an archway
10,Petit Paris,1,this place is in Grassmarket
10,Petit Paris,2,it is a French restaurant
11,Edinburgh Central Library,1,its not a book shop
11,Edinburgh Central Library,2,and its not the National Library of Scotland
12,Greyfriars Bobby,1,the animal is a dog
12,Greyfriars Bobby,2,it is inside the church grounds
13,McEwan Hall,1,there is a hall on the square named after this brewer
13,McEwan Hall,2,the square is called Bristo
14,Lt David Stuart McGregor VC,1,look for a plaque fixed onto black iron fence railings
14,Lt David Stuart McGregor VC,2,if you get to the Lauriston Building (NHS) you have gone too far
15,The Wee Pub - Smallest Pub in Scotland,1,head back to Grassmarket
15,The Wee Pub - Smallest Pub in Scotland,2,find Currie's Close and you will be close
