sequence_order,title,address,latitude,longitude,clue_type,clue_text,puzzle_type,puzzle_question,puzzle_answer,puzzle_explanation,image_path,hero_image_path,about_landmark_label,about_landmark_text,about_subject_label,about_subject_text,interesting_fact,external_link,quiz_format
1,Royal Bank of Scotland Headquarters,"St Andrew Square, Edinburgh",55.954623,-3.190952,,,,,,,rbs-hq.jpg,rbs-hq-hero.jpg,About the building,"Stone lions guard steps grand enough to belong to a palace, and for a while this Palladian mansion practically was one. Sir William Chambers completed it in 1774 as a private townhouse for Sir Lawrence Dundas, one of the richest men in Georgian Scotland; it passed to the Scottish Excise Office in 1795, and the Royal Bank of Scotland bought it in 1825, keeping it as its registered head office ever since.",About its history,"Step through the doors and the grandeur only builds: a domed banking hall, added in 1857 by architect John Dick Peddie, rings its ceiling with star-shaped skylights trimmed in gold. That gilt sits above money with an uncomfortable history - Dundas's fortune, the one that built the house beneath the dome, was built substantially on the transatlantic slave trade, a legacy Edinburgh's grandest Georgian addresses rarely advertise so plainly.","The domed banking hall is so distinctive it's been printed on Royal Bank of Scotland banknotes themselves - meaning the building has, in effect, appeared on its own money.",https://en.wikipedia.org/wiki/Dundas_House,multiple_choice
2,William Pitt the Younger statue,"Corner of Frederick St and George St, Edinburgh",55.95305767,-3.200416265,directional,"look for the big man in the sky - follow his eyes for just over half a kilometre - you are looking for the green man - dont forget to note what you see on the way, you may need it for the quiz",exact_numeric,What year did the green man die? (4 digits please),1806,"The ""green man"" is William Pitt the Younger, whose weathered bronze statue has stood on Hanover Street since shortly after his death in 1806.",pitt-statue.jpg,pitt-statue-hero.jpg,About the statue,"Weathered bronze, green with more than two centuries of Edinburgh weather, marks this corner of George Street and Frederick Street - one of several statesmen honoured along the New Town's grid of streets. Sir Francis Chantrey sculpted the figure, unveiled here in 1833, a fair measure of how seriously Georgian Edinburgh took its own Britishness.",About William Pitt the Younger,"Pitt became Prime Minister in 1783 at just 24 - still the youngest in British history - and critics were sure it wouldn't last: one contemporary joke dubbed his government a ""mince-pie administration"" that wouldn't survive Christmas. It lasted seventeen years. He led Britain through most of the wars against Napoleonic France, introduced the country's first income tax in 1798, and died in office in 1806, aged only 46.","In 1798, sitting Prime Minister Pitt fought a pistol duel with fellow MP George Tierney on Putney Heath - both men deliberately missed their shots, and honour was declared satisfied without a scratch on either.",https://en.wikipedia.org/wiki/William_Pitt_the_Younger,multiple_choice
3,Bute House,"Charlotte Square, Edinburgh",55.95247807,-3.208062996,directional,"keep going the way you started, then take a right and then a left - you're looking for the home of another ""big man"" - dont forget to note what you see on the way, you may need it for the quiz",exact_numeric,What is the house number?,6,"Bute House, 6 Charlotte Square, has been the official residence of Scotland's First Minister since 1999.",bute-house.jpg,bute-house.jpg,About the building,"Nothing on Charlotte Square's honey-coloured facade gives away which door leads to the seat of government - Robert Adam designed the whole terrace as one unified composition in 1791, and Number 6 looks no grander than its neighbours. Adam died the following year, before it was finished, but the address he never saw completed has been the official residence of Scotland's First Minister since 1999.",About its history,"The man who first bought this plot never got to enjoy it. Orlando Hart, a shoemaker turned Edinburgh town councillor, paid a modest £290 for it in 1792 - then died the following year, before the house was even finished, leaving his son to sell it on to its first actual occupant. It went on to spend nearly twenty years as a hotel and passed through the Marquesses of Bute for over sixty more before being preserved for the nation in 1966; the title over the door only became ""First Minister"" in 1999, having belonged to the Secretary of State for Scotland for the three decades before devolution.","In 1832, while operating as a hotel, Bute House had already hosted one deposed head of state - the exiled King Charles X of France stayed here briefly, and some of the hotel's original brass lettering is still visible on the building today, a quiet trace of the near two centuries before it became a government address at all.",https://en.wikipedia.org/wiki/Bute_House,multiple_choice
4,Wojtek the Soldier Bear Memorial,"West Princes Street Gardens, Edinburgh (near Castle Street terrace path)",55.95085029782972,-3.202105934,directional,"head 440m as the crow flies on heading 128(Southeast). Alas you are not a crow and will need to walk, but there are multiple routes to get there. You are looking for an animal you already saw today - don't forget to note what you see on the way, you may need it for the quiz",fuzzy_text,What country is mentioned?,Poland,"Wojtek served with the 2nd Polish Corps, and the memorial's relief panel traces his journey from Poland's soldiers all the way to Edinburgh - Poland is the country named throughout his story.",wojtek-bear-memorial.jpg,wojtek-bear-memorial.jpg,About the memorial,"A bronze soldier of the 2nd Polish Corps walks beside a bear at one-and-a-quarter life size here, one hand resting easily on its back - the memorial to Wojtek, a Syrian brown bear cub bought from a boy in Iran in 1942 by Polish troops on their way to war, who grew up inside the 22nd Artillery Supply Company drinking beer, wrestling the men and eating their cigarettes rather than smoking them. Sculptor Alan Beattie Herriot made the pair, unveiled on 7 November 2015 and cast at Powderhall Bronze here in Edinburgh; behind them a low curved granite wall - quarried at Strzegom in Poland and shipped here, so the soldier and his bear would always have a piece of their homeland underfoot - carries a four-metre bronze relief panel tracing Wojtek's wartime journey.",About Wojtek,"Barred from British troopships as a pet, Wojtek was formally enlisted instead, given his own paybook and the service number 253. At Monte Cassino in 1944 he's said to have carried crates of artillery shells up to the guns. After the war his unit was demobbed at Winfield Camp in the Scottish Borders in 1947, and the soldiers who'd fought alongside him for years found they simply couldn't take him home - so they gave him to Edinburgh Zoo instead, where he lived out the rest of his life until his death in 1963.","Long before Edinburgh, Wojtek made his name as an unlikely sentry: at the unit's camp in Iran he's said to have caught an intruder breaking in to steal ammunition, barging in on the would-be thief and pinning him down until soldiers arrived - the man surrendered on the spot. Years later at the zoo, he still perked up whenever he heard Polish spoken nearby, a lifelong tell of where his loyalties really lay.",https://en.wikipedia.org/wiki/Wojtek,five_right
5,The Scott Monument,"East Princes Street Gardens, Edinburgh",55.95248646118423,-3.193300039,directional,"look east-north-east for a land mark of note - then head towards it - dont forget to note what you see on the way, you may need it for the quiz",fuzzy_text,What is the first name of the bloke at the bottom?,Walter,"The white marble statue at the monument's base is Sir Walter Scott himself, sculpted by John Steell - the whole spire was built in his honour after his death.",scott-monument.jpg,scott-monument.jpg,About the monument,"A Victorian Gothic spire of pale Binny sandstone rises 61.1 metres above Princes Street Gardens, built between 1840 and 1844. Climb its 287 steps through four viewing platforms and you'll pass 68 carved statuettes of characters from Walter Scott's novels, clustered around the base and up the sides, before reaching a white marble statue of Scott himself, seated at the monument's foot, carved by John Steell.",About its construction,"Its architect wasn't a trained architect at all. George Meikle Kemp was a self-taught joiner and draughtsman who entered the 1836 design competition under the pseudonym ""John Morvo"" - the name of Melrose Abbey's medieval master mason - expecting his lack of credentials to sink his chances. He won, but never saw it finished: walking home from the site on a foggy night in March 1844, he fell into the Union Canal and drowned. What rose in his place became one of the largest monuments ever built to a writer anywhere in the world - at 61 metres, it's often cited as second only to the José Martí memorial in Havana, Cuba, meaning Edinburgh's tribute to a novelist outranks, in sheer scale, monuments to almost every other writer on the planet.","The monument's famous black colour isn't the stone's own - Binny sandstone is naturally pale. A century and a half of coal smoke from 'Auld Reekie' is what turned it dark, a literal residue of the industrial city Scott himself never lived to see.",https://en.wikipedia.org/wiki/Scott_Monument,multiple_choice
6,Fleshmarket Close,"Market St & Fleshmarket Cl, Edinburgh EH1 1DE",55.9512293,-3.1889332,directional,"head to Market Street and turn left at the roundabout - you are looking for some steps  - dont forget to note what you see on the way, you may need it for the quiz",fuzzy_text,What is the name of the bar next door? (hint: it sounds a bit like an old country in central Europe),Brewhemia,Brewhemia sits right beside the close's Market Street entrance - its sign is one of the first things you see as you arrive.,fleshmarket-close.jpg,fleshmarket-close-hero.jpg,About the close,"Steep worn steps climb between close-set tenement walls here, funnelling you up from Market Street, just behind Waverley Station, to Cockburn Street and the High Street above - and the close earns its blunt name honestly. Butchers once hung carcasses along this passage, blood running down the slope toward the old Nor Loch that used to fill the valley now occupied by Princes Street Gardens; the flesh (meat) market had moved here from beside the Tron Kirk by the late 17th century, and this stair remains one of the most-used shortcuts between station and Old Town today.",About its name,"The close lent its title to Fleshmarket Close, the fifteenth Inspector Rebus novel by Edinburgh crime writer Ian Rankin, published in 2004, and long housed the Jinglin' Geordie pub - named after the 17th-century goldsmith and moneylender George Heriot - a favourite haunt of journalists from the Evening News and The Scotsman until both papers moved out to Holyrood in 1999.","In June 2025 the close was among several Old Town locations used to film J. J. Abrams's The Great Beyond, starring Glen Powell, Jenna Ortega, Emma Mackey and Samuel L. Jackson, with release expected in November 2026.","https://en.wikipedia.org/wiki/Fleshmarket_Close,_Edinburgh",anagram
7,Tron Kirk Market,"122 High St, Edinburgh EH1 1SG",55.9500329,-3.1877519,directional,"take the steps (you may want to count them) - turn at the top and follow the road - you are looking for a market place - dont forget to note what you see on the way, you may need it for the quiz",exact_numeric,What year was the foundation stone laid?,1637,"The Tron Kirk's foundation stone was laid on 4 March 1637, commissioned by King Charles I once St Giles' up the street was made Edinburgh's cathedral.",tron-kirk-market.jpg,tron-kirk-market.jpg,About the building,"Gothic tracery windows and a slender spire anchor this stretch of the Royal Mile, though the church beneath them hasn't held a service in over seventy years. Its foundation stone was laid on 4 March 1637, commissioned by King Charles I after St Giles' up the street was made Edinburgh's cathedral and its displaced parish needed a church of its own. Master mason John Mylne designed it, blending Gothic tracery with Dutch-influenced classical detailing, though construction dragged into the 1640s amid the upheavals of the Wars of the Covenant. Its original steeple was destroyed in the Great Fire of Edinburgh in 1824; the current spire, by architects R. & R. Dickson, replaced it in 1828. The congregation held its final service here on 21 September 1952, after which it merged with St Giles', carrying its seventeenth-century communion silver up the street in procession.",About its name and market,"The kirk takes its name from the tron, a public weighing beam that stood on the High Street outside it until around 1800, used to weigh and tax goods sold nearby - a reminder that this stretch of the Royal Mile has been a marketplace for centuries longer than the church itself has stood here. After decades as a council-run heritage centre, the building reopened on 1 July 2022 as Tron Kirk Market, run by the Scottish Design Exchange, where local Scottish makers sell jewellery, art and craft work from stalls inside the old nave. Restoration in the 1970s had already uncovered the cobbled surface of Marlin's Wynd beneath the floor, a paved street thought to be among the oldest in Scotland, named after the mason Walter Merlioun who lived there around 1500 - part of it remains visible today under glass panels.","The interior lost more than its congregation when the kirk closed: an elaborate 1888 gallery and pulpit scheme by architect Robert Rowand Anderson - the same architect behind the National Portrait Gallery on Queen Street - was later stripped out, leaving the plainer stone shell visible today rather than the ornate Victorian interior worshippers would once have known.",https://en.wikipedia.org/wiki/Tron_Kirk,multiple_choice
8,Deacon Brodies Tavern,"435 Lawnmarket, Edinburgh EH1 2NT",55.9495353,-3.1929167,directional,"head up the royal mile - you are looking for a burglar!  - dont forget to note what you see on the way, you may need it for the quiz",exact_numeric,How old was he when he died?,47,William Brodie was born in 1741 and hanged on 1 October 1788 - 47 years old when his secret double life finally caught up with him.,deacon-brodies-tavern.jpg,deacon-brodies-tavern.jpg,About the tavern,"Timber-fronted and tucked at the junction of the Lawnmarket and Bank Street, this early 18th-century building stands close to where William Brodie himself lived and kept his cabinet-making workshop. Its ground and first floors were converted into a public house by architect P. L. Henderson in 1894, with further alterations by Robert Hurd in 1950; it has been protected as a Category A listed building since 1970. Many tourist guides give 1806 as the tavern's founding date, though the listing record's account of a much later 1894 conversion suggests the pub in its current form may be somewhat younger than that popular figure.",About Deacon Brodie,"William Brodie (1741-1788) was a respected Edinburgh cabinet-maker, locksmith and city councillor who served as Deacon of the Incorporation of Wrights and Masons - a position of real civic standing. By night, he led a secret double life as a burglar, using his legitimate work fitting locks to take wax impressions of clients' keys. From 1786 he recruited accomplices for a string of break-ins, but a raid on the Excise Office at Chessels Court on 5 March 1788 went wrong, netting only around £16 before the gang was disturbed. Brodie fled first to London and then toward the Netherlands, where he was caught in Amsterdam and brought back to stand trial. He was hanged on 1 October 1788, reportedly before a huge crowd.","Local legend holds Brodie had once helped design the very gallows used to hang him - a neat irony, even if it's hard to verify. The stark contrast between his respectable daytime reputation and his criminal double life is widely credited as an inspiration for Robert Louis Stevenson's Strange Case of Dr Jekyll and Mr Hyde (1886) - Stevenson grew up with a cabinet Brodie had built in his family home.",https://en.wikipedia.org/wiki/William_Brodie,five_right
9,The Gatehouse,"Castlehill, Edinburgh EH1 2NG",55.94856675999658,-3.198678954,directional,"keep heading up the royal mile for about 500m - you are looking for a shield  - dont forget to note what you see on the way, you may need it for the quiz",fuzzy_text,What animal is on the shield?,Lion,"A lion appears on the shield carried by the bronze statue of Robert the Bruce, standing in one of the two niches beside the Gatehouse archway.",castle-gatehouse.jpg,castle-gatehouse.jpg,About the Gatehouse,"Turrets and crow-stepped gables make this entrance to Edinburgh Castle look centuries old, but the Gatehouse is a Victorian addition, built in 1886-88 in Scots Baronial style to give the fortress a grander, more romantic approach befitting its status as a national monument. Flanking the archway in twin canopied niches, added decades later in 1929 to mark the 600th anniversary of Robert the Bruce's death, stand bronze statues of Bruce and William Wallace; the drawbridge and portcullis groove above the arch are both still in working order.",About the statues,"Funded by a bequest from Captain Hugh Reid and erected by the Corporation of Edinburgh, the statues were unveiled on 28 May 1929: Bruce, by sculptor Thomas J. Clapperton, wears his crown and carries an axe and shield; Wallace, by Alexander Carrick, grips a claymore. Both stand in niches designed by the architect Sir Robert Lorimer, who had designed the castle's own Scottish National War Memorial just a couple of years earlier, in 1927.","The Gatehouse's own design wasn't the work of a romantic castle architect at all: records credit it to R. Lawson Scott of the Royal Engineers Department in London, drawn up in some secrecy - military authorities reportedly feared a cosmetic addition to a still-functioning garrison might draw public criticism if the plans became known too soon.",https://www.atlasobscura.com/places/william-wallace-and-robert-the-bruce-statues,multiple_choice
10,Petit Paris,"38-40 Grassmarket, Edinburgh EH1 2JU",55.9475508,-3.1965749,directional,"turn around, retrace your steps a little and take the first right turn - keep going for 300m - vous cherchez quelque chose à manger  - dont forget to note what you see on the way, you may need it for the quiz",fuzzy_text,What is the name of the hotel chain across the road?,Apex,The Apex hotel sits directly across the Grassmarket from Petit Paris's outdoor tables - its sign is visible right from where diners sit.,petit-paris.jpg,petit-paris.jpg,About the restaurant,"Gingham tablecloths and whitewashed walls give Petit Paris the look of a Left Bank cafe that wandered off course and settled in the Grassmarket - fitting, since it opened in 1998 in a space vacated by one of the original branches of Pierre Victoire, the budget French bistro chain that collapsed into receivership that same year amid allegations its founder had quietly siphoned company funds. Where that empire crashed, its former waiter thrived: Philippe Bachelet, originally from Orleans, had worked at Edinburgh's first Pierre Victoire since 1989 and later ran two Chez Jules franchises with his wife, Nathalie, before striking out alone on this same stretch of the Grassmarket.",About the Grassmarket,"The Grassmarket has been one of Edinburgh's principal marketplaces since it was formalised by royal charter under King James III in 1477, and a farmers' market still runs there today. For more than a century, from around 1660, it also served as the city's main site of public execution: over 100 Covenanters - Presbyterians who refused to accept the crown's authority over the Church of Scotland - were hanged here during the so-called Killing Times of the 1660s to 1680s. A cobblestone memorial pattern and a monument raised by public subscription in 1937 mark the site of the gallows today.","Diners at Petit Paris's outdoor tables look straight up at Edinburgh Castle, perched on its rock directly above the square - one of the more dramatic backdrops for a plate of moules frites anywhere in the city, and a reminder of just how much history sits within sight of the cutlery.",https://en.wikipedia.org/wiki/Grassmarket,multiple_choice
