title,address,type,latitude,longitude,about_site_label,about_site_text,about_subject_label,about_subject_text,interesting_fact,image_path,external_link
"Statue of John Hope, 4th Earl of Hopetoun","Forecourt of Dundas House, 36 St Andrew Square, Edinburgh EH2 2YB",statue,55.95442886464266,-3.191716979846795,About the statue,"A life-size bronze of John Hope, 4th Earl of Hopetoun (1765-1823), the general who took command of the British army at Corunna after Sir John Moore was killed. Sculpted by Thomas Campbell, it stands in the railed forecourt of Dundas House, long the head office of the Royal Bank of Scotland. Hope wears a Roman toga rather than uniform and stands beside a horse with its head bowed - a pedestrian figure, not a mounted one. A stepped granite plinth carries a drum-ended bronze pedestal, its inscription written by Sir Walter Scott.",,,"It was never meant to be here. Edinburgh commissioned the statue in 1824 for Charlotte Square, then judged it unsuitable; it went unplaced for years until the bank accepted it in 1834 and set it in its own forecourt. The accidental siting produced the square's best in-joke: the Earl stands looking west across the gardens directly at the Melville Monument and Henry Dundas - who was his brother-in-law, having married the Earl's sister Lady Jane Hope in 1793. In 2020 the statue was drawn into Edinburgh's review of monuments with slavery links, over Hope's part in crushing Fedon's rebellion in Grenada in 1795-96.",1-1.jpg,"https://en.wikipedia.org/wiki/John_Hope,_4th_Earl_of_Hopetoun"
Lion of Scotland,"St Andrew Square Gardens, Edinburgh",statue,55.954561751061455,-3.1929936377678936,About the statue,"A 20-tonne recumbent lion hand-carved from a single boulder of pink granite by sculptor Ronald Rae, moved here in 2010. The stone is Corrennie granite from Aberdeenshire and the finished animal runs to roughly 17 feet long and 8 feet high. It was first sited in Holyrood Park, on the ground between the Palace of Holyroodhouse and the new Scottish Parliament, placed there deliberately beneath Arthur's Seat - a hill long read as a lion in its own right.",,,"It's been voted Edinburgh's best-loved sculpture - and took over a year to carve using hand tools only, with no power tools at any stage. When the Holyrood loan was due to expire in 2008, Scottish Blue Badge guides raised a petition and thousands of residents and visitors signed it; that won a two-year reprieve, and on 25 April 2010 the lion made the mile-long journey across town to St Andrew Square Garden. It came on loan rather than by purchase, financed by Essential Edinburgh and private sponsors, and Rae has said he hopes the city will one day buy it outright. Technically, it is still a visitor.",1-2.jpg,https://www.ronaldrae.co.uk/lion-of-scotland/
Melville Monument,"St Andrew Square Gardens, Edinburgh",monument,55.954209464635085,-3.1931551391033786,About the monument,"A fluted Doric column over 45 metres tall, inspired by Trajan's Column in Rome and topped with a statue of Henry Dundas, 1st Viscount Melville. Built 1821-27 and weighing around 1,500 tons, the monument was engineered with help from Robert Stevenson - the lighthouse-building grandfather of novelist Robert Louis Stevenson, brought in because nothing this large had been attempted in Scotland before. The design was William Burn's, and the roughly 15-foot figure on top was carved by Robert Forrest to a model by Sir Francis Chantrey.",,,"Dundas was so politically powerful in late-18th-century Scotland he was nicknamed 'The Uncrowned King of Scotland' - and this monument is literally the 'big man in the sky' the game's own clue points players toward. In 1806 he became the last person ever impeached in the UK, for misappropriating public funds; a plaque added to the monument in 2021 also addresses his role in delaying the abolition of the slave trade. The £8,000 bill was met by subscription from the officers and men of the Royal Navy, which Dundas had run as First Lord of the Admiralty from 1804.",1-3.jpg,https://en.wikipedia.org/wiki/Melville_Monument
Paddington Bear Statue,"St Andrew Square Gardens (near 42 St Andrew Sq), Edinburgh",quirky,55.9541629,-3.1934904,About this spot,"A bronze Paddington Bear, marmalade sandwich in hand, sitting on a bench in the garden. He is deliberately sized to leave one clear gap beside him, which is the whole point of him: the trail was built around the photograph you are about to take. Worth noting where he is sitting - St Andrew Square Garden was private railed ground, reserved for the householders around it, for well over two centuries, and only opened to the general public in 2008.",,,"Unveiled 9 Oct 2024 as part of the national 'Paddington Visits' trail (tied to the Paddington in Peru film) - one of 23 across the UK and Ireland, strung out between John O'Groats and Land's End and each hand-painted in the red hat and blue duffle coat. Michael Bond bought the lone unsold teddy that started it all on Christmas Eve 1956, as a present for his wife; 'A Bear Called Paddington' followed on 13 October 1958. The luggage label round the bear's neck - 'Please look after this bear' - came straight from Bond's memory of wartime evacuee children arriving at London stations with tags tied to their coats.",1-4.jpg,https://mindtrip.ai/attraction/edinburgh-scotland/paddington-bear-statue/at-AhHdS9wz
National Portrait Gallery,"1 Queen Street, Edinburgh EH2 1JD",gallery,55.955679,-3.193556,About the gallery,"Scotland's national portrait collection, housed in a red sandstone Gothic Revival pile on the north side of Queen Street. Robert Rowand Anderson designed it; it was built 1885-90 and opened in 1889, the stone quarried at Corsehill near Annan in Dumfriesshire. Four octagonal corner turrets with crocketed pinnacles frame a facade studded with niche statues of famous Scots. It was built as a double building - the portrait gallery in the east wing, the National Museum of Antiquities in the west - sharing one Great Hall as a common entrance.",,,"Nobody was supposed to know who paid for it. In 1882 an anonymous 10,000 pound gift arrived to ""set on foot"" a national portrait gallery; the donor quietly kept paying until the bill reached roughly 70,000 pounds, and his identity was revealed only on opening day in 1889 - John Ritchie Findlay, proprietor of The Scotsman. It was the first building in the world purpose-built as a portrait gallery. Inside, the Great Hall's arcaded balcony carries William Hole's processional frieze of 155 Scots running backwards in time from Thomas Carlyle to the Stone Age, beneath a ceiling of over 2,000 gold stars.",1-5.jpg,https://en.wikipedia.org/wiki/Scottish_National_Portrait_Gallery
The Capital Building,"The Capital Building, 12-13 St Andrew Square, Edinburgh EH2 2AF",building,55.953857,-3.194273,About the building,"An Art Deco outlier on the corner of St Andrew Square and George Street, built 1938-40 as the head office of the Caledonian Insurance Company to designs by Leslie Grahame Thomson with Frank J Connell. Polished black granite at street level gives way to warm sandstone above, cut with strong vertical lines and geometric detail. The splayed corner entrance is flanked by two outsized bronzes by Alexander Carrick. Inside are a marble-lined hall, an imperial staircase and a roof-lit rotunda. Reportedly Category A listed, now multi-tenant offices over a restaurant.",,,"The two bronzes over the door are an insurance advert in metal. Carrick's figures are ""Safety"" - a man shielding a young girl - and ""Security"" - a woman with a baby and a boy: not civic virtues, but precisely the two things a Caledonian Insurance policy claimed to sell, cast at twice life size above the counter where you bought one. The theme carries indoors, where William Wilson's stained glass in the stairwell depicts commercial trades rather than scripture. The building was finished just as war halted Edinburgh construction, making it one of the New Town's very few full-blooded Art Deco set pieces.",1-6.jpg,https://www.capital-building.co.uk/
James Clerk Maxwell statue,"Central reservation, east end of George Street at St Andrew Square, Edinburgh EH2 2LL",statue,55.95400445645818,-3.1944016638513006,About the statue,"A seated bronze of the physicist James Clerk Maxwell (1831-1879) by Alexander Stoddart, unveiled 25 November 2008 on the central reservation at the east end of George Street, facing west. Maxwell is shown in Victorian dress at roughly the age he died, holding the spinning colour top he used to investigate colour vision, with his terrier Toby at his feet. Bronze reliefs on the granite plinth show Newton with his prism and Einstein with a warped-spacetime sheet, and a plaque carries Maxwell's equations.",,,"The four equations on the plinth are not the ones Maxwell wrote. His 1865 formulation ran to twenty equations in twenty variables; the compact vector form the world now calls ""Maxwell's equations"" was boiled down by Oliver Heaviside two decades later, after Maxwell was dead. The site is apt for a second reason: the Royal Society of Edinburgh, which commissioned the statue and sits a block west, first published Maxwell at fourteen - his 1846 paper on oval curves had to be read aloud to the Society by Professor James Forbes, because a boy that age could not present it himself.",1-7.jpg,https://en.wikipedia.org/wiki/James_Clerk_Maxwell
Thistle Court,"Thistle Street, Edinburgh",architectural_point,55.954485007671934,-3.195650485176331,About the building,"Two pairs of modest semi-detached houses facing each other across a small grass court, built in 1767 - the oldest surviving buildings in the whole New Town. They are plain two-storey-and-attic classical houses of sandstone rubble, some of it red, with ashlar dressings: no columns, no pediment, nothing whatsoever to announce that Edinburgh's grandest building project started here. All four are now Category A listed, and the court is thought to have been called Rose Court originally.",,,"They exist because developer John Young simply ignored James Craig's rigid grid plan and built houses facing each other instead of a terraced row - possibly the oldest semi-detached houses in Scotland. The town council had dangled a £20 premium for the first builder to break ground in the New Town, and Young collected it. The rest of Thistle Street took another twenty-odd years to fill up, put up as plain craft workers' dwellings and workshops - the cheap seats directly behind George Street's mansions - and Craig named it for Scotland's emblem to pair with Rose Street, named for England's.",1-8.jpg,https://canmore.org.uk/site/52431/edinburgh-thistle-street-1-thistle-court
The Dome,"14 George Street, Edinburgh",building,55.95366,-3.195608,About the building,"Built around 1847 to a design by architect David Rhind in the Graeco-Roman style, on the site of the former Physicians' Hall. Its hexastyle Corinthian portico is 95 feet wide with six 35-foot columns, topped by a sculpted pediment by Alexander Handyside Ritchie. Now a Category A listed building, it takes its name from the large glass dome lighting the banking hall inside. Ritchie's pediment group is Fruitfulness attended by Trade and Navigation - the same group the Commercial Bank engraved on its own banknotes, so Scots carried this building around in their pockets.",,,"The bank that built this grand headquarters eventually merged into the very same Royal Bank of Scotland whose own head office - Dundas House - is the first stop on this walk: once a rival across town, now part of the same institution. The Commercial Bank became the National Commercial Bank in 1959 and was absorbed by RBS ten years later. The Physicians' Hall it replaced was designed by James Craig, who planned the New Town; its foundation stone was laid in 1776, and when it came down in January 1844 the workmen opened that stone and found silver medals sealed inside.",1-9.jpg,"https://en.wikipedia.org/wiki/The_Dome,_Edinburgh"
St Andrew's and St George's West Church,"13 George Street, Edinburgh",religious_building,55.95389536651243,-3.1957734524751946,About the church,"Built in 1784 as St Andrew's Church - the first church built in the New Town. The design was won in competition by Captain Andrew Frazer of the Royal Engineers, then chief army engineer for Scotland, working with Robert Kay, and its oval interior was the first elliptical church plan in Britain - partly a virtue made of necessity, since the leftover plot was too shallow for a conventional nave. The ceiling was lifted from Robert Wood's 'Ruins of Palmyra' of 1753, with Scottish thistles worked in. The 51-metre steeple was an afterthought, added in 1787.",,,"The site was originally earmarked for Dundas House (now the RBS HQ landmark) before it was swapped for the church - Sir Lawrence Dundas quietly bought up the square's east side before Craig's plan could be enforced, and the church was bumped along George Street instead. The steeple holds eight bells cast in 1788 at London's Whitechapel foundry, the oldest complete ring in Scotland. And on 18 May 1843 this was the room where the Disruption happened: around a third of the ministers at the General Assembly walked out and founded the Free Church of Scotland.",1-10.jpg,https://en.wikipedia.org/wiki/St_Andrew%27s_and_St_George%27s_West_Church
