sequence_order,title,address,latitude,longitude,clue_type,clue_text,puzzle_type,puzzle_question,puzzle_answer,puzzle_explanation,image_path,hero_image_path,about_landmark_label,about_landmark_text,about_subject_label,about_subject_text,interesting_fact,external_link,quiz_format
"1","Odysseo Oceanarium","Harbour Waterfront, Port Louis, Mauritius","-20.1593375","57.4951185","","","","","","","port-louis-odysseo-oceanarium.jpg","","About the oceanarium","This is Mauritius's first and largest oceanarium, a 5,500-square-metre complex on the Port Louis harbour waterfront that opened in 2021. Spread across six themed zones from mangroves to open ocean, its 45 aquariums hold more than 200 marine species, with underwater tunnels, interactive shows, a shark touch-pool and a children's laboratory built around a conservation-education mission.","","","Odysseo is the largest oceanarium anywhere in the Mascarene Islands, ahead of similar attractions in Réunion and the Seychelles, and it earns that scale with six zones covering the full range of Indian Ocean habitats - Coral Reef, Lagoon, Mangroves and Beaches, Open Sea, Invertebrates and a Sub-Oceanic View - rather than one big shared tank.","https://odysseomauritius.com/",""
"2","Port Louis Casino","Port Louis, Mauritius","-20.1614726","57.4989954","directions","PLACEHOLDER - walk from the Oceanarium along the waterfront to the casino.","fuzzy_text","PLACEHOLDER - what is this landmark called?","Port Louis Casino","","port-louis-casino.jpg","","About the building","This casino at Caudan Waterfront is part of the complex that opened on 25 November 1996, on land once occupied by warehouses and a meteorological observatory. It occupies the Barkly Wharf building, named for Sir Henry Barkly, Governor of Mauritius from 1863 to 1870, and is known for a striking facade styled like the bow of a pirate ship, complete with bowsprit mast and statuary.","","","The building's pirate-ship facade - a bowsprit mast and figurehead-style statues built into the architecture - makes it one of the more theatrical pieces of commercial design on the whole waterfront, and it backs it up with scale: it's the largest casino in Port Louis, running 214 gaming machines and 16 table games under that pirate-ship roof.","",""
"3","SAJ Statue","Quay St, Port Louis, Mauritius","-20.1606836","57.5009595","directions","PLACEHOLDER - walk to SAJ Statue.","fuzzy_text","PLACEHOLDER - what is this landmark called?","SAJ Statue","","port-louis-saj-statue.jpg","port-louis-saj-statue-hero.jpg","About the statue","This bronze statue of Sir Anerood Jugnauth (""SAJ"") was unveiled at the Port Louis Waterfront on 15 June 2024, honouring the former Prime Minister and President who dominated Mauritian politics for decades. It stands beside an earlier statue of Sir Seewoosagur Ramgoolam, placing two of independent Mauritius's most prominent leaders side by side on the same esplanade.","","","At 3.6 metres tall, the SAJ statue was built about 30 centimetres taller than the neighbouring Ramgoolam statue, and its Rs 13.5 million cost and sculptor Devanand Bungshee's likeness both drew public criticism at the time of unveiling.","",""
"4","Aapravasi Ghat World Heritage Site","1 Quay St, Port Louis, Mauritius","-20.158554","57.5029509","directions","PLACEHOLDER - walk to Aapravasi Ghat World Heritage Site.","fuzzy_text","PLACEHOLDER - what is this landmark called?","Aapravasi Ghat World Heritage Site","","port-louis-aapravasi-ghat-world-heritage-site.jpg","","About this address","You're standing at the place where the modern indentured-labour diaspora began - though the practice itself predates this exact building. The first 36 indentured labourers reached Mauritius on 2 November 1834 aboard the ship Atlas, which had left India that September; they landed near the old Customs House, just metres from where you're standing now, fifteen years before this purpose-built depot even existed. Built in 1849, the Aapravasi Ghat - literally the 'Immigration Depot' - became the main entry point for almost 500,000 indentured labourers brought to Mauritius between 1849 and 1923, mostly from India but also China, Africa, Madagascar and Southeast Asia, to work the island's sugar plantations after the abolition of slavery. New arrivals bathed after weeks at sea, were medically inspected and vaccinated against smallpox, had their contracts read aloud in their own language, and usually spent about two days here completing the paperwork before being sent out to sugar estates across the island. It's been a UNESCO World Heritage Site since 2006.","","","Roughly 70% of Mauritians today are descended from these indentured labourers - making this small 1,640 m² depot one of the most significant sites anywhere for understanding the roots of modern Mauritian society, and one of the earliest examples of a labour-migration system that would go on to reshape economies worldwide.","https://whc.unesco.org/en/list/1227/",""
"5","China Town South Gate","48 Royal Rd, Port Louis, Mauritius","-20.1595616","57.5056429","directions","PLACEHOLDER - walk to China Town South Gate.","fuzzy_text","PLACEHOLDER - what is this landmark called?","China Town South Gate","","port-louis-china-town-gate.jpg","","About this spot","This is one of the ornamental Friendship Gates marking the entrance to Port Louis's Chinatown on Royal Road, one of the oldest Chinatowns in Africa. The gates were a gift from Foshan, in Guangdong province, Port Louis's twin city in China, symbolising the long-standing links between the two places and the wider friendship between Mauritius and China.","","","Chinatown's roots reach back to the 1780s, when the first Chinese migrants arrived in Port Louis from Guangzhou aboard British, French and Danish ships - making it one of the oldest continuously inhabited Chinese communities anywhere in Africa.","",""
"6","Manga Street Murals","Venpin Street, off Royal Road, Chinatown, Port Louis, Mauritius","-20.1600031","57.507832","directions","PLACEHOLDER - walk to Manga Street Murals.","fuzzy_text","PLACEHOLDER - what is this landmark called?","Manga Street Murals","","port-louis-venpin-street-mural.jpg","","About this spot","Duck into the narrow passage off Royal Road that everyone in Chinatown just calls Manga Street, and the walls close in with colour - a girl with sea-green hair, a blue-haired swordsman mid-strike, a golden-haired heroine wreathed in mist, each panel painted floor to roof on old shopfront brick. Every figure here was put up for free in June 2020 by young volunteer artists working with the New Chinatown Foundation, on a stretch of Venpin Street that had sat abandoned for years - proof, as one of the organisers put it at the time, that young people still show up to volunteer for their own neighbourhood.","","","Many of the murals were painted to mark the 50th anniversary of diplomatic ties between Mauritius and China, turning a once-derelict back alley into one of the most photographed corners of Port Louis.","",""
"7","Jummah Masjid","Royal Road, Queen St, Port Louis, Mauritius","-20.1597222","57.505","directions","PLACEHOLDER - walk to Jummah Masjid.","fuzzy_text","PLACEHOLDER - what is this landmark called?","Jummah Masjid","","port-louis-jummah-masjid.jpg","","About the mosque","Step onto Royal Road in the heart of the old commercial quarter and Port Louis's principal mosque rises in front of you, known simply as Jummah Masjid. The city's mercantile community bought this plot on Queen Street in 1852 and consecrated the mosque a year later, when it went by a different name entirely - the ""Mosque of the Arabs."" What you're looking at today is largely a late-Victorian rebuild: a major expansion begun in 1878 under Jackaria Jan Mahomed dragged on for years, slowed by disease and building-supply shortages, and wasn't finished until 1895.","","","The mosque blends Indian, Creole and Islamic architectural styles so seamlessly that it's often named one of the most beautiful religious buildings in Mauritius.","https://en.wikipedia.org/wiki/Jummah_Mosque_(Mauritius)",""
"8","Central Market Port Louis","9 Corderie St, Port Louis, Mauritius","-20.1606919","57.5029509","directions","PLACEHOLDER - walk to Central Market Port Louis.","fuzzy_text","PLACEHOLDER - what is this landmark called?","Central Market Port Louis","","port-louis-central-market-port-louis.jpg","","About this address","Step into the historic heart of Port Louis's daily life - a market that's been trading here, in one form or another, since 1828, moving to this site in 1833 and formally opening under British rule in 1839. Its wrought-iron gates, worked with floral motifs and dating from that same year, are one of the city's best-loved pieces of Victorian-era heritage; the building itself was heavily renovated between 2001 and 2004 after several fires, careful to keep its original character intact.","","","For nearly two centuries this market has been where all of Mauritius's communities meet and trade side by side - Creole, Franco-Mauritian, Indian, Chinese and African - and locals still often call it the Bazaar or Victoria Market rather than by its official name. A serious fire tore through the market in 1996, badly damaging the building - the renovation that followed, running 2001 to 2004, was as much about repairing that fire damage as modernising a market that was already over 150 years old.","",""
"9","Statue of William Newton","Royal Rd, Port Louis, Mauritius","-20.162442","57.5026104","directions","PLACEHOLDER - walk to Statue of William Newton.","fuzzy_text","PLACEHOLDER - what is this landmark called?","Statue of William Newton","","port-louis-william-newton-statue.jpg","port-louis-william-newton-statue-hero.jpg","About the statue","This statue honours Sir William Newton (1842-1915), a Mauritian lawyer of mixed Indo-Mauritian and Scottish descent who led the reformist movement launched in 1882 demanding an elected element in the colonial Legislative Council. His campaigning under the administration of Governor Sir John Pope Hennessy helped bring about the Constitutional Reform of 1885, which for the first time let Indo-Mauritians and other non-white islanders elect their own representatives.","","","The Constitution Newton helped win came into force on 20 October 1885 - the first time in Mauritian history that non-white islanders could vote for their own representatives in the colonial legislature. Newton himself embodied the divide he fought to close: born in 1842 to an Indo-Mauritian mother and a Scottish father, he belonged to the island's ""Gens de couleur"" community that colonial law treated as second-class. He won a British scholarship to study law in England, came home to practise as a barrister, and led the Reform Party he founded for thirty years, right up until his death in 1915.","",""
"10","Port Louis Theatre","Remy Ollier St & Jules Koenig St, Port Louis, Mauritius","-20.1635722","57.5043847","directions","PLACEHOLDER - walk to Port Louis Theatre.","fuzzy_text","PLACEHOLDER - what is this landmark called?","Port Louis Theatre","","port-louis-port-louis-theatre.jpg","","About the building","This is the oldest theatre in the Indian Ocean region, and it's been putting on a show since 1822. Governor Robert Farquhar laid its first stone in 1820, architect Pierre Poujade built it in the style of a classic London playhouse, and the doors opened on 11 June 1822. Inside, three tiers of seating for around 600 people sit beneath an ornately painted dome of cherubs and chandeliers - for over a century, this was the island's only home for opera, drama and balls, until the Plaza Theatre opened in Rose Hill in 1933.","","","The theatre has closed its doors more than once over the centuries - shut for two years in the 1890s by a cyclone and a run of epidemics, then for seven years during the Second World War - but nothing compares to its most recent closure: it shut in 2008 for renovation and didn't reopen until 2025, seventeen years later.","",""
