landmark_sequence_order,question_order,title,instructions,tile_order,name,image_path,correct
"4","5","Pick 5: Languages of Mauritius","5 of the languages below are among the top 5 spoken in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","1","Creole","","true"
"4","5","Pick 5: Languages of Mauritius","5 of the languages below are among the top 5 spoken in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","2","French","","true"
"4","5","Pick 5: Languages of Mauritius","5 of the languages below are among the top 5 spoken in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","3","English","","true"
"4","5","Pick 5: Languages of Mauritius","5 of the languages below are among the top 5 spoken in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","4","Bhojpuri","","true"
"4","5","Pick 5: Languages of Mauritius","5 of the languages below are among the top 5 spoken in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","5","Hindi","","true"
"4","5","Pick 5: Languages of Mauritius","5 of the languages below are among the top 5 spoken in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","6","Urdu","","false"
"4","5","Pick 5: Languages of Mauritius","5 of the languages below are among the top 5 spoken in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","7","Tamil","","false"
"4","5","Pick 5: Languages of Mauritius","5 of the languages below are among the top 5 spoken in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","8","Telugu","","false"
"4","5","Pick 5: Languages of Mauritius","5 of the languages below are among the top 5 spoken in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","9","Mandarin","","false"
"12","5","Pick 5: Statues in Mauritius","5 of the statues below are found here in Mauritius, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.","1","Sir Seewoosagur Ramgoolam Statue","port-louis-ramgoolam-statue.jpg","true"
