landmark_sequence_order,landmark_title,question_order,type,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
2,Port Louis Casino,1,multiple_choice,question text,a1,a2,a3,a4,a1,
3,SAJ Statue,1,multiple_choice,question text,a1,a2,a3,a4,a1,
4,Aapravasi Ghat World Heritage Site,1,multiple_choice,question text,a1,a2,a3,a4,a1,
5,China Town Gate,1,multiple_choice,question text,a1,a2,a3,a4,a1,
6,Street Art and Murals,1,multiple_choice,question text,a1,a2,a3,a4,a1,
7,Jummah Masjid,1,multiple_choice,question text,a1,a2,a3,a4,a1,
8,Central Market Port Louis,1,multiple_choice,question text,a1,a2,a3,a4,a1,
9,Statue of William Newton,1,multiple_choice,question text,a1,a2,a3,a4,a1,
10,Port Louis Theatre,1,multiple_choice,question text,a1,a2,a3,a4,a1,
11,Statue de Saint Louis,1,multiple_choice,question text,a1,a2,a3,a4,a1,
12,Photographic Museum Of Mauritius,1,multiple_choice,question text,a1,a2,a3,a4,a1,
13,Natural History Museum,1,multiple_choice,question text,a1,a2,a3,a4,a1,
14,Bust of Queen Victoria,1,multiple_choice,question text,a1,a2,a3,a4,a1,
15,Caudan Arts Centre,1,multiple_choice,question text,a1,a2,a3,a4,a1,
